Basin Id|Segment ID|On Segment|RFA/Tag ID|Station ID|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Comment|Submitting Entity|Collecting Entity|Monitoring Type|Parameter Code|Greater Than/Less Than|Value|MDL|LOQ|Data Qualifier|Verify Flag|Validation Flag|Rating Flag|Nelac Status|Exempt Status
22|2202|Y|U701879|13079|08/29/2007|08:00|0.3||||||A-2430113 PIC/TPCN volume-20mL  Oxygen Isotope Sam|GS|GS|RT|00600||4.9|||||||USABLE|
22|2202|Y|U202335|13079|09/18/2002|10:00|0.3||||||A-2630070 pic/ tcpn volume- 20 ml|GS|GS|RT|00061||731|||||||USABLE|
22|2202|Y|U202335|13079|09/18/2002|10:00|0.3||||||A-2630070 pic/ tcpn volume- 20 ml|GS|GS|RT|00665||0.68|||||||USABLE|
22|2202|Y|U202335|13079|09/18/2002|10:00|0.3||||||A-2630070 pic/ tcpn volume- 20 ml|GS|GS|RT|00671||0.26|||||||USABLE|
22|2202|Y|U201005|13079|04/16/2002|12:00|0.3||||||A-1090059pic/tpcn volume - 20ml|GS|GS|RT|00665||0.79|||||||USABLE|
22|2202|Y|U501930|13079|08/22/2005|12:00|0.3||||||A-2370068 PIC/TPCN volume-20 mL  Oxygen Isotope Sa|GS|GS|RT|00094||4210|||||||USABLE|
22|2202|Y|U501930|13079|08/22/2005|12:00|0.3||||||A-2370068 PIC/TPCN volume-20 mL  Oxygen Isotope Sa|GS|GS|RT|00625||1.3|||||||USABLE|
22|2202|Y|U700835|13079|03/28/2007|13:00|0.3||||||A-2629519 Oxygen Isotope Sample  PIC/TPCN volume-2|GS|GS|RT|00061||236|||||||USABLE|
22|2202|Y|U301659|13079|07/08/2003|13:30|0.3|||||||GS|GS|RT|00010||27.5|||||||USABLE|
22|2202|Y|U401755|13079|07/07/2004|12:30|0.3||||||L-1940029Received 07/10/2004|GS|GS|RT|00625||1.4|||||||USABLE|
22|2202|Y|U401755|13079|07/07/2004|12:30|0.3||||||L-1940029Received 07/10/2004|GS|GS|RT|00665||0.54|||||||USABLE|
22|2202|Y|U601784|13079|07/26/2006|12:00|0.3||||||A-2859512 Oxygen Isotope Sample  PIC/TCPN volume-2|GS|GS|RT|00094||4020|||||||USABLE|
22|2202|Y|U601784|13079|07/26/2006|12:00|0.3||||||A-2859512 Oxygen Isotope Sample  PIC/TCPN volume-2|GS|GS|RT|00665||0.74|||||||USABLE|
22|2202|Y|U601784|13079|07/26/2006|12:00|0.3||||||A-2859512 Oxygen Isotope Sample  PIC/TCPN volume-2|GS|GS|RT|00671||0.46|||||||USABLE|
22|2202|Y|U201359|13079|05/30/2002|11:00|0.3||||||L-1540095 recvd/A-1540095 pic/tcpn volume- 20 ml|GS|GS|RT|00094||4150|||||||USABLE|
22|2202|Y|U201359|13079|05/30/2002|11:00|0.3||||||L-1540095 recvd/A-1540095 pic/tcpn volume- 20 ml|GS|GS|RT|00400||8.3|||||||USABLE|
22|2202|Y|U201359|13079|05/30/2002|11:00|0.3||||||L-1540095 recvd/A-1540095 pic/tcpn volume- 20 ml|GS|GS|RT|00671||0.38|||||||USABLE|
22|2202|Y|U402130|13079|08/10/2004|13:00|0.3||||||A-2260241pic/tpcn volume-20 ml|GS|GS|RT|00094||4220|||||||USABLE|
22|2202|Y|U302271|13079|08/19/2003|11:30|0.3||||||A-2340190 PIC/TCPN volume-20mL|GS|GS|RT|00625||1.5|||||||USABLE|
22|2202|Y|U701644|13079|08/07/2007|13:00|0.3||||||A-2220223 PIC/TPCN volume - 20 mL  Oxygen Isotope|GS|GS|RT|00010||29.5|||||||USABLE|
22|2202|Y|U500503|13079|01/19/2005|08:00|0.3|||||||GS|GS|RT|00010||17.5|||||||USABLE|
22|2202|Y|U500503|13079|01/19/2005|08:00|0.3|||||||GS|GS|RT|00665||0.58|||||||USABLE|
